state,Murder Count,2019,2018,2017,2016,2015,2014,2013,2012,2011,2020
 Maine,20,1.5,1.7,1.7,1.5,1.7,1.6,1.8,2,2,1.8
 Vermont,11,1.8,1.8,2.2,2.2,1.6,1.6,1.6,1.3,1.3,1.1
 South Dakota,17,1.9,1.4,2.9,3.2,3.7,2.7,2.4,2.8,2.5,2.8
 Iowa,60,1.9,2.2,3.3,2.3,2.3,1.9,1.4,1.6,1.5,1.2
 Idaho,35,2,1.9,1.9,2.9,1.9,2,1.7,1.9,2.3,1.4
 Minnesota,117,2.1,1.9,2,1.8,2.4,1.6,2.1,1.8,1.4,1.8
 Wyoming,13,2.2,2.4,2.6,3.4,2.7,2.7,2.9,2.4,3.2,1.4
 Utah,72,2.2,2,2.4,2.4,1.8,2.2,1.7,1.8,1.9,1.9
 Massachusetts,152,2.2,2,2.5,2,1.9,2,2,1.8,2.8,3.3
 Nebraska,45,2.3,2.3,2.2,2.6,3.3,2.8,3.1,2.8,3.6,3
 New Hampshire,33,2.4,1.6,1,1.4,1.1,1.2,1.7,1.1,1.3,1
 Rhode Island,25,2.4,1.5,1.9,2.7,2.7,2.5,2.9,3.4,1.3,2.8
 Montana,27,2.5,3.5,3.9,3.6,3.5,3.7,2.2,2.9,2.8,2.5
 Washington,198,2.6,3.1,3.1,2.7,2.9,2.5,2.3,3.1,2.4,2.3
 Oregon,116,2.8,2.1,2.5,2.8,2.5,2.1,2,2.3,2.1,2.5
 New Jersey,262,2.9,3.2,3.6,4.2,4.1,3.9,4.5,4.4,4.3,4.2
 Connecticut,104,2.9,2.4,2.8,2.2,3.3,2.5,2.4,3.3,3.6,3.7
 New York,558,2.9,2.9,2.8,3.2,3.1,3.1,3.3,3.5,4,4.5
 Wisconsin,175,3,3,3.2,4,4.2,2.8,2.8,3,2.4,2.7
 North Dakota,24,3.1,2.4,1.3,2.1,2.8,3.1,2.2,3.6,3.5,1.5
 Hawaii,48,3.4,2.8,2.7,2.4,1.3,1.4,1.5,1.5,1.2,1.8
 Kansas,105,3.6,4.2,5.5,4.5,4.4,3.2,3.9,2.9,3.8,3.4
 Colorado,218,3.8,3.8,3.9,3.4,3.2,2.8,3.4,2.9,2.9,2.6
 California,"1,690",4.3,4.4,4.6,4.9,4.8,4.4,4.6,5,4.8,4.8
 West Virginia,78,4.4,4.2,4.7,4.6,3.8,4.5,3.3,3.8,4.3,3.1
 Nevada,143,4.6,6.7,9.1,7.8,6.2,6,5.8,4.5,5.2,5.8
 Ohio,538,4.6,5.1,6.1,5.9,4.3,4,3.9,4.1,4.4,4.2
 Kentucky,221,4.9,5.6,5.9,6,4.7,3.7,3.8,4.6,3.5,4.3
 Delaware,48,4.9,4.8,5.6,6.1,6.7,5.3,4.2,6.1,4.7,5.7
 Texas,"1,409",4.9,4.6,5,5.3,4.8,4.4,4.3,4.4,4.4,4.9
 Arizona,365,5,5.4,5.9,5.6,4.5,4.6,5.4,5.5,6.2,6.4
 Virginia,426,5,4.9,5.3,5.7,4.6,4.2,3.8,3.9,3.7,4.7
 Pennsylvania,669,5.2,6.1,5.8,5.3,5.1,4.8,4.7,5.5,5,5.1
 Florida,"1,122",5.2,5.2,5,5.4,5.1,4.9,5,5.2,5.2,5.2
 Indiana,377,5.6,6.2,6,6.5,5.6,5,5.4,4.7,4.8,4.1
 Michigan,556,5.6,5.6,5.7,6.2,5.8,5.5,6.4,7.1,6.2,5.9
 North Carolina,632,6,5.5,5.8,6.7,5.1,5,4.8,4.9,5.3,5
 Georgia,654,6.2,6.2,6.7,6.6,6,6,5.6,5.9,5.6,5.7
 Illinois,832,6.6,7.1,7.8,8.3,5.8,5.4,5.5,6,5.6,5.5
 Oklahoma,266,6.7,5.5,6.2,6.3,6,4.6,5.1,5.8,5.5,5.2
 Alabama,358,7.3,7.8,8.3,8.4,7.2,5.7,7.2,7.1,6.3,5.7
 Tennessee,498,7.3,7.5,7.8,7.4,6.2,5.6,5,6.2,5.8,5.6
 Arkansas,242,8,7.4,8.6,7.3,6.1,5.9,5.4,5.9,5.5,4.6
 New Mexico,181,8.6,7.3,7.1,6.7,5.6,4.8,6,5.6,7.5,6.8
 South Carolina,464,9,8.1,7.8,7.2,8.1,6.7,6.2,7,6.8,6.7
 Maryland,542,9,8.1,9,8.9,8.6,6.1,6.4,6.3,6.8,7.4
 Missouri,568,9.3,9.8,9.8,8.8,8.3,6.7,6.1,6.5,6.1,7
 Alaska,69,9.4,6.4,8.4,7,8,5.6,4.6,4.1,4,4.3
 Mississippi,332,11.2,7.2,8.2,7.9,8.7,8.7,6.5,7.1,8,6.9
 Louisiana,544,11.7,11.4,12.4,11.8,10.3,10.2,10.8,10.6,11.2,11
 Puerto Rico,606,19,20,20.3,19.9,16.8,19.3,24.4,26.8,30.6,26.2
 District of Columbia,166,23.5,22.8,16.7,19.9,24.1,15.9,15.9,13.9,17.5,21.8
 United States,"16,425",5,5,5.3,5.4,4.9,4.4,4.5,4.7,4.7,4.8
